titulo,empresa,salario,ubicacion,tipo_de_trabajo,fecha_de_publicacion,enlace
NATURAL ADABAS Especialista,Grupo Digital,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/natural-adabas-especialista-grupo-digital/adabas/rf-64e71aedf2ed1309bd42
Analista Programador - Facturación Electrónica,Baoss,,,,03/04/2026,https://www.tecnoempleo.com/analista-programador-facturacion-electronica-baoss/java-spring/rf-3927146d52c0d33bdb42
Programador/a OWS ó FATWIRE,Digital Talent Agency,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-ows-o-fatwire-digital-talent-agency/oracle-oracle-webcenter-si/rf-1d81179a72a2d3b6fe4d
Delineante industrial,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/delineante-industrial-page-personnel/autocad-inventor/rf-3e4d15c4229373801d45
Supplier Quality Engineer - Composites,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/supplier-quality-engineer-composites-page-personne/as9100-nadcap/rf-9e5d1d7ae2a6d34d0e49
Administrador de Sistemas Opensource (K8s/Cloud),Nextret,42.000€ - 48.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/administrador-sistemas-opensource-k8s-cloud-nextre/kubernetes-openshift/rf-f8fa1146a2b2b3e7f442
Jefe/a de Proyecto Ingeniería,Page Personnel,39.000€ - 45.000€,Madrid,Presencial,03/04/2026,https://www.tecnoempleo.com/jefe-proyecto-ingenieria-page-personnel/cctv-project-manager/rf-e5e31e9dd2cda3c87b47
Senior PL/SQL Developer,GFR Technologies SE,,Madrid,,03/04/2026,https://www.tecnoempleo.com/senior-pl-sql-developer-gfr-technologies-se/pl-sql/rf-bd971f30128d83108e45
Machine Learning Scientist / Applied Scientist,Amazon,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/machine-learning-scientist-applied-scientist-amazo/python-java/rf-da23111f422d330f7a48
Senior Software Development Engineer,Amazon,,Madrid,,03/04/2026,https://www.tecnoempleo.com/senior-software-development-engineer-amazon/java-go/rf-593e199c22e9730d694b
Data Scientist / Business Intel Engineer,Amazon,,Madrid,,03/04/2026,https://www.tecnoempleo.com/data-scientist-business-intel-engineer-amazon/redshift-oracle/rf-08301fe682f983479c41
Developer Analyst (Python / PL/SQL),Talan,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/developer-analyst-python-pl-sql-talan/pl-sql/rf-42a3152ef279a3ad1344
Google Cloud Data Presales Engineer,Devoteam,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/google-cloud-data-presales-engineer-devoteam/google-cloud-bigquery/rf-7c3d18e3e2e603afcc44
Desarrollador Strategy (MicroStrategy),Devoteam,,Madrid,,03/04/2026,https://www.tecnoempleo.com/desarrollador-strategy-microstrategy-devoteam/sql-etl/rf-2c2c186ed27e2311ca45
Google Cloud Automation Engineer,Devoteam,,Madrid,,03/04/2026,https://www.tecnoempleo.com/google-cloud-automation-engineer-devoteam/excel-vba/rf-77241eecf2980346b241
Ingeniero DevOps,Devoteam,,Madrid,,03/04/2026,https://www.tecnoempleo.com/ingeniero-devops-devoteam/ci-cd-terraform/rf-b32d161ba2be73c24f4c
Developer Analyst (Python / PLSQL),Talan,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/developer-analyst-python-plsql-talan/pl-sql-github/rf-c7311d4582ecf3c84843
SSR .Net Developer,Talan,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/ssr-net-developer-talan/net-c/rf-f5e01ec292ab03e65040
